pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
50.094678,25.502410,16.005099,47.593967,24.864793,11.951399,45.364639,26.518255,12.033575,46.191483,24.798052,10.094742,41.986828,25.324812,9.079303
49.002414,27.331889,15.273466,47.454743,24.832846,12.095624,45.292942,26.522011,12.141147,46.114343,24.670582,10.092552,42.498000,27.208692,9.863548
47.878418,28.445265,14.248543,47.541904,24.847206,12.091840,45.301640,26.495142,12.256144,46.032258,24.935074,10.356510,43.309482,28.183865,10.489991
46.325863,29.000728,13.412486,47.429029,24.654227,12.130929,45.299408,26.467161,12.363364,46.098457,24.826933,10.351396,44.226060,28.659400,11.205213
46.311130,28.638294,13.818704,47.363764,24.671427,12.303339,45.287848,26.325708,12.521968,46.081579,24.950331,10.527232,43.637397,28.405217,11.479950
47.286833,28.565957,14.257264,47.570200,24.582860,12.408656,45.227085,26.252312,12.599418,45.936312,24.773571,10.553168,43.250286,28.325008,10.745482
48.590634,27.691627,15.188116,47.407768,24.536289,12.479665,45.225220,26.179518,12.716130,45.930792,24.836063,10.500885,43.032042,27.552763,9.634920
49.889614,25.490365,15.507279,47.442560,24.657930,12.558756,45.159462,26.139411,12.805201,45.837443,24.786306,10.746469,43.028417,26.336874,8.485215
50.341656,23.890767,15.822145,47.294384,24.752026,12.471949,45.170582,26.068242,12.908621,45.923573,24.741558,10.853822,43.210403,24.130571,7.783941
50.073584,21.634234,15.164863,47.198297,24.622523,12.614307,45.156941,26.062978,13.014192,45.987392,24.669253,11.058783,43.614325,21.976373,8.485255
48.987734,20.232178,14.143539,47.294703,24.627176,12.529251,45.102135,26.073399,13.131061,45.845360,24.599742,11.096994,44.383114,20.787917,9.338898
48.011676,19.540276,13.509458,47.361180,24.445926,12.735540,45.098686,25.977473,13.239436,45.743609,24.525785,11.116798,44.975266,20.237901,10.309173
47.536592,19.548152,13.154240,47.356733,24.434980,13.040108,45.026860,25.921629,13.313104,45.931322,24.709580,11.006816,45.402368,19.908403,10.667746
48.157485,19.994226,13.838463,47.381815,24.387016,13.069842,44.999393,25.839594,13.428130,45.845363,24.618742,11.263410,44.648246,20.462449,10.315347
48.933807,20.026804,14.767139,47.328743,24.173822,13.272795,44.977510,25.799447,13.510557,46.068633,24.663785,11.454587,43.492262,21.244955,9.391253
49.484017,21.167806,16.234441,47.277027,24.157954,13.269600,44.985416,25.761600,13.629720,46.010623,24.456613,11.504241,42.562981,22.800682,9.364624
49.278000,23.440080,16.597666,47.107276,24.149549,13.608973,44.981705,25.700934,13.715869,45.722924,24.179070,11.701425,41.757487,24.871995,9.508059
48.967541,25.394416,16.699932,47.179177,24.023581,13.587185,44.920091,25.643945,13.800119,45.584009,24.128123,11.716255,41.939643,26.885060,10.906049
48.133349,26.681277,17.024895,47.060874,24.011302,13.677190,44.879660,25.556066,13.907856,45.596339,24.124960,11.777169,42.866538,27.918428,12.266242
46.448052,27.407778,16.363034,47.070516,24.035706,13.720857,45.000551,25.284124,14.163555,45.719162,24.350168,11.970892,43.552360,28.114516,12.989523
45.413508,27.464532,15.990204,47.022850,23.725929,14.025022,44.977567,25.197272,14.347513,45.808805,24.321352,11.904480,43.203339,27.452430,13.583896
46.030090,27.106331,16.688669,47.083457,23.863570,13.890388,44.957491,25.201484,14.475824,45.771899,24.567436,12.136409,43.022196,27.566194,12.882843
47.230494,26.396735,17.311865,47.006059,23.779631,13.992962,44.930755,25.117927,14.606077,45.644480,24.601454,12.125543,42.646801,27.421778,11.777516
