pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.657603,42.666147,9.682168,38.308663,39.646525,11.621742,36.164099,37.294822,10.071201,38.772107,37.591288,12.218268,40.594845,32.752124,12.347275
35.088735,41.738751,8.138772,38.058124,39.511677,11.934243,36.003205,37.368678,10.094100,38.721956,37.593158,12.140604,39.259435,33.419494,10.080216
35.478903,40.602365,7.658855,38.224763,39.490233,12.055263,35.860100,37.420254,10.148977,38.871890,37.621922,12.296490,38.962180,33.761621,9.103558
35.141317,40.804226,7.645308,38.047196,39.499713,12.069611,35.840169,37.387649,10.204690,38.791968,37.670885,12.410160,38.324154,33.839495,9.071789
35.581335,42.256296,8.381066,37.938909,39.538944,12.087237,35.825647,37.355582,10.239314,38.591204,37.602969,12.309955,39.663803,33.409698,10.211526
36.071150,43.850210,10.129095,37.978025,39.515771,11.987587,35.770154,37.348179,10.259020,38.449347,37.538735,12.406347,40.450281,33.285574,11.673444
36.135925,44.083635,12.438311,38.117334,39.639225,11.958298,35.680151,37.342924,10.316414,38.407644,37.366786,12.369822,41.092373,33.582384,13.831592
36.322705,43.132749,14.828769,37.836575,39.615655,12.228818,35.571847,37.333725,10.371533,38.371913,37.572926,12.329134,40.795511,35.158183,15.914344
36.609213,41.699350,16.347570,37.705988,39.829900,12.212407,35.475596,37.327215,10.432662,38.266762,37.522846,12.410824,39.971230,36.260996,17.160629
36.584030,40.856154,16.769524,37.792644,39.705194,12.281919,35.412428,37.345626,10.497661,38.315164,37.403840,12.362344,39.227128,36.931533,17.299631
36.597329,41.099272,16.461998,37.602623,39.558041,12.407864,35.316364,37.331609,10.544834,38.269743,37.398525,12.507287,39.160887,36.703381,17.485482
36.028652,42.484252,15.851175,37.724653,39.546339,12.355549,35.281618,37.326102,10.554452,38.210838,37.409126,12.559988,39.608639,35.758506,16.899737
35.395938,43.279778,14.812324,37.619736,39.363626,12.360906,35.253308,37.333739,10.591495,38.231985,37.357429,12.669463,39.758023,34.266028,16.077689
34.519521,43.469512,13.375505,37.440058,39.250124,12.421863,35.420959,37.658407,10.972776,38.224300,37.503301,12.599628,39.467907,33.131901,14.550337
34.067448,43.313138,11.122024,37.569663,39.232602,12.604761,35.350732,37.643786,11.039163,37.984888,37.311915,12.743076,39.318926,32.671239,13.386944
