pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
47.971148,27.707711,2.831787,47.815956,23.822202,-0.139630,45.102599,20.886911,-1.400101,48.357688,22.058830,-0.763071,52.986404,20.160819,1.008530
47.757955,27.959434,2.608809,47.684273,23.876310,-0.066898,45.054533,20.844389,-1.359870,48.168809,21.957604,-0.667075,52.769767,19.803242,0.550929
47.228735,28.235111,2.391540,47.386051,23.830488,-0.076104,45.037361,20.836628,-1.344168,48.188827,21.908059,-0.675049,52.940766,19.984895,0.272797
47.023345,28.352851,1.831092,47.185418,23.929412,-0.000984,44.970889,20.807729,-1.310213,48.021044,21.906842,-0.795598,52.919562,19.270019,-0.203578
46.273059,28.636099,1.406556,47.253730,23.627487,-0.149978,44.951443,20.807865,-1.285463,48.037943,21.733373,-0.803636,52.704507,19.011976,-0.946832
45.647888,28.865728,0.788037,46.968509,23.602591,0.024882,44.935170,20.814354,-1.248448,47.937830,21.556581,-0.674835,52.250808,18.599810,-1.728151
45.174340,28.908525,-0.033559,46.909447,23.572976,-0.108672,44.914691,20.832050,-1.199090,47.997166,21.601665,-0.793318,51.750364,18.264273,-2.633430
44.558889,28.270549,-1.279366,47.218027,23.479570,0.112996,44.902463,20.812481,-1.168786,48.116309,21.710638,-0.707789,51.122674,18.072321,-3.547704
43.886761,27.661691,-2.245128,47.190805,23.520477,0.083425,44.869645,20.737696,-1.080431,48.047462,21.687046,-0.548187,50.323634,18.029956,-4.517456
43.395312,26.911582,-2.495692,47.181121,23.546906,0.115740,44.856250,20.736643,-1.056809,47.831005,21.182411,-0.594535,49.350119,18.080575,-4.866792
42.995689,26.477786,-2.318553,47.307948,23.522386,0.061087,44.868045,20.666355,-0.960589,47.835187,21.349293,-0.720572,48.702867,17.764654,-4.349054
43.031669,26.932650,-0.923915,47.307336,23.398238,-0.011196,44.881903,20.633828,-0.831661,47.840123,21.503898,-0.394018,50.507620,17.554935,-3.504518
43.591955,27.348894,1.072232,46.960787,23.476689,0.075787,44.884394,20.558202,-0.737720,47.898951,21.505541,-0.538420,51.048033,17.089939,-1.317925
44.886130,26.929655,3.509612,46.981296,23.398253,-0.073166,44.870175,20.547054,-0.724454,47.901331,21.560895,-0.660426,51.570298,18.052696,1.679925
46.524175,25.593034,4.905121,47.061221,23.401262,0.013625,44.937988,20.508914,-0.659527,47.830683,21.575109,-0.553185,51.339203,20.226969,3.644246
47.642591,24.969589,5.454680,46.969992,23.247081,0.035453,44.982333,20.472709,-0.610088,47.884881,21.515687,-0.653953,50.331799,21.621109,4.356399
48.559853,24.720300,5.042594,46.980702,23.411049,-0.030999,44.967317,20.461177,-0.597563,47.823307,21.464910,-0.613809,50.488540,22.018928,4.588222
48.888944,25.445588,4.634470,47.042458,23.221198,0.017983,44.930632,20.447200,-0.578128,47.750198,21.567438,-0.430914,51.536116,20.863726,3.607938
48.238815,25.983712,4.571672,46.979779,23.357609,0.117535,44.920108,20.436804,-0.564648,47.723354,21.319470,-0.615328,51.746115,19.673913,3.274743
47.053480,26.957428,4.182700,47.073460,23.369214,0.308437,44.909380,20.427198,-0.550181,47.756103,21.509633,-0.484313,51.851580,17.997700,2.347116
45.388685,27.768692,3.478632,46.835838,23.234433,0.270791,44.862522,20.407746,-0.532984,47.742882,21.407648,-0.291337,50.369043,16.626125,0.911776
43.615056,28.144914,1.671528,46.820404,23.358008,0.862118,44.809506,20.386335,-0.511210,47.497852,21.360374,-0.173165,49.148531,16.088843,-1.306438
42.331279,27.108387,0.138030,46.790202,23.524843,0.634830,44.767496,20.379376,-0.475764,47.758318,21.378381,-0.041715,47.567687,16.382269,-2.747854
41.724877,25.249504,-1.465538,46.766837,23.171164,0.352391,44.740317,20.404910,-0.419675,47.688408,21.105946,-0.210219,45.957922,17.056388,-3.338548
41.714338,23.988998,-1.781335,46.683812,23.095096,0.361869,44.729725,20.383801,-0.393799,47.780334,21.309717,-0.067480,45.389822,17.521341,-3.422134
41.103465,24.015227,-1.360472,46.703349,23.108424,0.190983,44.707572,20.376725,-0.381253,47.692702,21.192053,-0.005946,46.203373,16.551963,-3.002083
41.493264,25.672589,-0.856112,46.780693,23.324832,0.285854,44.665156,20.352149,-0.353513,47.680908,21.207870,-0.043118,47.882291,16.417603,-2.663510
42.373233,26.866960,0.832503,46.586848,23.093684,0.171174,44.651639,20.265574,-0.269251,47.578204,21.530472,0.132507,50.828605,16.989146,-1.032802
44.099767,27.133857,2.792969,46.719710,23.202723,0.240838,44.641821,20.174275,-0.170949,47.602152,21.442585,0.088885,51.846619,18.105544,1.500736
45.670037,26.629607,4.218063,46.518367,22.863649,0.086255,44.679562,20.105661,-0.082109,47.484571,21.370894,0.103401,51.692031,20.591637,3.881979
47.042102,25.722106,5.014311,46.769990,23.160936,0.352271,44.717956,20.042919,0.000831,47.566546,21.415509,0.081440,50.307400,21.767745,4.841735
47.914870,25.388041,5.208895,46.325960,22.885414,0.442785,44.711242,20.024079,0.015317,47.378277,21.389156,0.073043,49.829089,22.541894,4.893540
47.956690,25.983601,4.769627,46.566491,23.027056,0.490510,44.703929,20.008985,0.024443,47.429565,21.305780,0.116135,50.898290,22.520055,4.836409
47.553712,26.824086,4.240259,46.725866,23.107955,0.631784,44.691108,19.991050,0.034954,47.400480,21.476283,0.157075,51.871711,21.036283,3.875088
46.546855,28.132962,2.913389,46.601522,23.081310,0.517922,44.647724,19.980511,0.065828,47.352533,21.446739,0.334307,52.907220,19.276846,2.275477
45.208289,28.610537,0.758455,46.436481,22.841671,0.527119,44.614806,20.015831,0.134429,47.565951,21.397191,0.303284,52.006976,17.924006,0.342492
43.922836,27.494728,-1.165766,46.248812,22.660875,0.632723,44.537013,19.984212,0.159374,47.321748,21.163104,0.289474,49.952584,16.794007,-1.368427
42.665828,25.898627,-2.220907,46.265525,22.821317,0.576212,44.480577,19.959009,0.177992,47.495728,21.206081,0.500349,48.171868,16.359521,-2.175979
42.074656,24.575345,-2.517866,46.251366,22.746622,0.578600,44.433833,19.936412,0.199696,47.243840,21.105187,0.523538,46.781864,16.158891,-1.976512
41.311602,24.900296,-1.382703,46.068065,22.451056,0.664193,44.403076,19.917567,0.210858,47.139439,21.390466,0.599236,47.314269,15.420135,-0.600552
41.402914,26.152678,0.085839,46.142953,22.510902,0.592649,44.369728,19.896929,0.224969,46.986140,21.061802,0.600152,48.977675,15.613017,0.925507
42.592466,26.959011,2.158133,46.121501,22.627316,0.508896,44.356136,19.880094,0.230368,47.065370,21.287305,0.480190,51.243278,17.815064,3.005008
44.386249,26.607636,4.025271,46.126178,22.583475,0.709294,44.346849,19.862042,0.233961,46.936571,21.200215,0.587567,51.058101,20.414684,4.911266
45.780904,25.889003,5.085119,46.368779,22.740598,0.841024,44.336853,19.845386,0.237520,47.363083,21.369304,0.718922,49.354594,22.306199,5.702893
46.481915,25.533886,5.526839,46.398694,22.851460,0.710058,44.328378,19.829955,0.243705,47.215152,21.169676,0.950136,48.609423,23.240463,6.076126
46.492441,26.107827,5.021785,46.197313,22.816195,0.836077,44.281321,19.807165,0.255091,46.961986,21.131327,0.865301,49.558907,22.830738,5.548031
45.678809,26.812862,4.699225,45.952671,22.710345,0.872476,44.197963,19.769021,0.275614,47.178831,21.131738,1.129903,50.624272,21.585034,5.740329
44.215562,27.457651,3.887250,45.999659,22.608014,0.763777,44.171067,19.750552,0.291325,47.427580,21.189170,1.324398,51.205021,19.635754,5.302844
42.301040,27.228825,2.431715,45.871860,22.504070,0.777926,44.154138,19.734981,0.307750,47.406999,21.171477,1.271883,51.327094,17.093988,3.531405
40.978006,25.884793,-0.010281,45.981615,22.552120,0.840075,44.148362,19.718527,0.329165,47.309889,21.111441,1.381599,49.450707,15.877553,1.294029
41.027541,23.915087,-1.893788,45.783927,22.493765,0.923808,44.179597,19.653086,0.412691,47.444367,21.137651,1.376079,47.934739,15.592604,-0.260040
41.229722,21.681912,-2.307756,45.753272,22.474591,1.032446,44.163866,19.595791,0.552930,47.253759,21.041217,1.481906,46.583424,16.011485,-1.128510
41.264230,20.486182,-2.068679,45.699037,22.534411,0.636786,44.187276,19.550785,0.691092,47.135577,20.846202,1.593017,46.449127,15.565383,-0.400230
40.819577,21.610928,-2.369305,45.658191,22.488369,0.925872,44.211919,19.378637,0.876509,47.206712,21.101736,1.668569,47.851700,15.441155,0.005578
41.086644,24.309502,-1.725533,45.562528,22.220212,0.875868,44.273027,19.262138,1.007189,47.068373,21.029211,1.529880,49.525716,15.849721,1.250862
41.567331,26.226296,-0.227872,45.285801,22.299865,0.955057,44.109389,19.356078,0.877856,46.795323,20.976710,1.630582,50.717336,17.567083,3.521764
42.287449,26.936061,2.184067,45.247412,22.106739,1.129962,43.966896,19.413741,0.787003,47.031806,20.742243,1.790384,50.841779,19.545651,5.460340
43.696204,26.672213,4.067360,45.235914,22.100644,1.067963,44.138174,19.239390,1.017617,46.938254,21.108123,1.912895,49.161645,21.179173,6.652446
44.719058,25.942380,5.212996,45.351563,22.290226,0.969634,44.242223,19.139163,1.150501,46.874550,20.863419,1.835298,48.041064,22.620465,6.861841
44.692024,25.654182,5.741785,45.329846,22.274551,1.098438,44.152344,19.134733,1.130969,46.802999,21.010132,1.685832,47.417880,22.939499,6.954996
43.748920,26.379007,4.923495,45.403832,22.215341,1.281494,44.146014,19.087483,1.182387,46.787848,21.240625,1.755593,48.011979,21.564733,6.892652
42.357659,26.675050,3.972692,45.304931,22.330850,1.152745,44.107291,19.076965,1.215228,46.881699,21.218101,2.246490,49.016462,20.714880,7.021980
40.990800,26.032714,2.674871,44.993173,22.207186,1.406381,44.077423,19.102826,1.277569,46.847210,20.949025,2.189713,49.603944,18.554528,6.533257
40.387023,24.740166,0.243247,45.311352,22.231522,1.216559,44.063661,19.090682,1.293872,46.702491,20.937154,2.285720,49.511113,16.574762,4.861238
40.290749,23.202131,-1.244837,45.178436,22.188365,1.040901,44.010711,19.057988,1.323124,46.927397,20.920091,2.425640,48.401797,15.371459,2.932320
40.986722,21.184060,-2.079884,45.104693,21.874975,1.294631,43.961040,19.056425,1.303178,46.684060,20.738608,2.600033,47.341745,15.239738,1.265610
41.428205,19.592099,-1.968033,45.171025,22.001524,1.065290,43.899031,19.031041,1.329111,46.479437,20.658905,2.308319,46.631266,15.624497,0.249130
41.171245,20.018922,-2.616329,45.031623,21.763808,1.198410,43.822075,19.012275,1.369964,46.551378,20.766870,2.464961,47.162213,15.532699,0.334125
41.288028,21.965565,-2.741762,45.068450,22.074250,1.084979,43.776916,19.005806,1.417112,46.509845,20.866005,2.679397,48.574236,15.792183,0.899881
41.274628,23.804091,-2.080790,45.057012,22.103322,1.401570,43.745366,19.017776,1.479072,46.620734,20.703241,2.616009,49.656247,16.204263,2.497132
41.303641,25.598383,-0.511148,44.885381,21.945754,1.336459,43.717763,18.989288,1.520657,46.422582,20.769203,2.441499,50.516340,17.732942,4.714917
41.404846,26.321495,1.519311,45.186611,21.989739,1.411286,43.741697,18.918889,1.597725,46.429796,20.732036,2.782980,49.944987,19.100616,6.577136
41.945817,26.379016,3.386617,45.198215,21.978630,1.462715,43.780554,18.842621,1.685645,46.249566,20.873429,2.863594,49.115848,20.985146,7.790230
42.517696,26.124814,4.648930,44.966238,21.954570,1.749313,43.818728,18.764040,1.780160,46.221977,20.867281,2.870409,47.239949,21.785851,7.930388
42.466108,25.697249,5.308350,45.248558,21.788201,1.775947,43.840897,18.687014,1.883157,46.256911,20.756882,2.857763,46.925512,22.826996,7.903309
42.254619,26.356775,4.498735,44.861668,21.911354,1.770311,43.820701,18.699546,1.879474,46.243638,20.750020,2.803572,47.356846,21.885298,7.940092
41.184231,26.408882,3.622997,45.010963,21.965017,1.733885,43.839486,18.678594,1.914555,46.257162,20.744028,3.057750,48.003791,20.892606,8.012419
40.323200,25.870700,2.187480,44.704635,21.832790,1.671300,43.815063,18.671150,1.937715,46.167627,20.682147,3.165318,48.959202,19.295361,7.483268
40.316582,24.822815,0.125022,44.847452,21.836783,1.772851,43.751512,18.695182,2.015395,46.191571,21.001154,3.169166,49.664921,17.092602,6.098311
40.686723,22.681094,-2.118022,44.702260,21.602624,1.895661,43.713831,18.667285,2.031345,46.062255,20.469352,3.330626,48.695387,15.721345,4.141511
41.248930,20.808906,-2.581311,44.975162,21.791962,1.960765,43.648367,18.635365,2.062618,46.027273,20.716809,3.404342,48.072302,15.238715,2.650878
41.217957,19.494818,-1.847871,44.450967,21.608748,1.909687,43.563526,18.608974,2.107868,45.944558,20.516358,3.449011,47.015078,15.217922,1.502722
41.320780,19.194545,-1.854879,44.267201,21.540855,1.728968,43.579074,18.546687,2.287723,45.998870,20.581068,3.464956,46.777016,14.913659,1.992526
40.823441,21.146357,-2.529511,44.399941,21.597082,1.946238,43.568652,18.510577,2.344503,45.798929,20.452520,3.428162,48.249944,15.475759,3.236236
41.068443,23.319424,-1.684277,44.549891,21.476091,2.027730,43.544469,18.488437,2.358785,45.918583,20.597226,3.429729,49.387362,16.387882,4.727544
41.090524,25.178978,-0.197673,44.675090,21.805280,1.906797,43.515535,18.469552,2.377707,45.859524,20.481037,3.585048,49.383100,17.923745,6.890610
41.296303,26.020974,1.724979,44.724484,21.938417,1.823040,43.443894,18.438958,2.413610,45.803762,20.583679,3.602858,48.676297,19.778547,8.307544
41.301876,26.054227,3.569563,44.654785,21.616208,2.007229,43.390637,18.404319,2.434380,45.669106,20.545005,3.608995,46.885141,21.250950,8.729581
41.739233,25.683772,4.863414,44.772690,21.480184,1.940994,43.334988,18.372878,2.459455,45.823102,20.504272,3.623732,45.947385,22.303281,8.756061
41.645791,25.503593,5.810004,44.807485,21.624743,2.055281,43.309077,18.359930,2.488683,45.700305,20.385405,3.709956,45.532126,22.523107,8.517233
41.096487,25.850155,4.978605,44.583561,21.522490,2.115182,43.284251,18.340691,2.534802,45.678653,20.395101,3.887180,46.206547,22.022988,8.795259
40.056688,25.545046,3.918749,44.337016,21.306517,2.192367,43.286441,18.310044,2.656408,45.784374,20.447948,3.803354,46.674659,20.874428,9.227880
39.548743,24.888617,2.609922,44.512259,21.489327,2.391898,43.299276,18.238851,2.758351,45.678394,20.252887,4.140016,47.422525,19.027643,9.232713
39.510209,23.269138,0.254459,44.265940,21.198158,2.027820,43.333773,18.162996,2.851919,45.711052,20.180439,4.214783,48.543508,17.011892,7.770302
39.950475,21.162576,-1.476215,44.065391,21.186275,2.453046,43.350503,18.102589,2.976411,45.658695,20.317219,4.375569,48.606413,16.440014,7.209445
41.056690,19.149254,-1.631142,44.017580,21.107749,2.485194,43.298590,18.020659,3.137089,45.433558,20.364408,4.408261,47.348628,14.873190,3.786378
41.476952,18.237038,-1.484673,43.701316,21.086108,2.539899,43.268150,18.010562,3.149329,45.430256,19.933735,4.510143,46.424574,14.897204,2.645001
