pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.628426,38.379176,5.873087,40.217572,36.279125,2.429952,37.250306,36.967156,-0.544379,38.855516,34.148603,1.697917,39.040678,30.363700,4.165634
41.781920,38.317615,5.872007,40.178788,36.201552,2.305229,37.264499,37.007113,-0.513222,38.731319,34.442937,1.367144,39.119190,30.368561,4.178864
41.801458,38.454473,5.916339,40.104164,36.334000,2.556157,37.227607,37.009637,-0.491063,38.812153,34.205424,1.538833,39.046897,30.498350,4.340322
41.749434,38.428183,5.840581,40.070911,36.365957,2.320583,37.178549,37.026312,-0.428119,38.829865,34.122912,1.670337,39.180772,30.408979,4.437822
41.687971,38.475138,5.846163,40.174492,36.182260,2.513826,37.125556,37.011495,-0.397255,38.593323,34.184936,1.559091,39.092981,30.290543,4.388550
41.589596,38.392881,5.830827,39.911869,36.330991,2.393054,37.100051,37.009393,-0.381746,38.616105,34.352601,1.714168,38.980791,30.327310,4.249106
41.618381,38.635779,5.631022,40.014795,36.266208,2.476810,37.034857,36.964552,-0.361443,38.735311,34.302082,1.705274,39.003947,30.014506,4.196757
42.651881,38.683416,5.390399,39.931058,36.343689,2.388203,37.012501,36.960400,-0.352819,38.458461,34.309242,1.566693,39.049521,29.971674,3.942984
42.117559,39.391933,4.792373,39.805277,36.555125,2.302372,36.987391,36.954855,-0.337197,38.844351,34.342164,1.721547,38.910181,30.095610,3.504580
42.560604,40.232005,4.471488,39.763235,36.689085,2.305222,36.962675,36.960713,-0.310599,38.570030,34.297737,1.767297,38.823244,29.650444,2.685097
42.631799,40.166176,3.693535,39.690425,36.847994,2.210183,36.891231,36.932625,-0.262757,38.541773,34.300334,1.676894,38.622659,29.494830,1.766001
42.550272,40.714429,2.182483,39.641973,36.779346,2.189732,36.865760,36.951816,-0.216056,38.589860,34.199553,1.648432,38.184080,29.514979,-0.029769
42.106828,40.688181,0.909800,39.759805,36.743645,1.854063,36.842258,36.964427,-0.196345,38.439045,34.127145,1.626822,38.467427,29.569938,-0.616015
41.951087,40.399313,0.103411,39.777433,36.715884,2.024635,36.802636,36.949160,-0.183432,38.570020,34.504305,1.316505,38.744564,29.829816,-0.966566
41.222548,40.633992,-0.604467,39.503830,36.818943,2.012638,36.737903,36.920372,-0.153914,38.428190,34.467594,1.451548,38.818277,30.317347,-1.517388
40.622383,40.683196,-0.908118,39.587924,36.934311,2.057027,36.670042,36.900777,-0.113010,38.432015,34.459913,1.438325,38.705617,30.287913,-1.575037
40.779158,41.386278,0.757595,39.464126,36.910183,2.051634,36.637577,36.922949,-0.067035,38.387754,34.553056,1.453592,38.600006,29.536465,-0.425235
40.587161,41.637266,2.457783,39.622016,36.678556,1.957874,36.608591,36.933030,-0.058476,38.388725,34.450131,1.455019,38.181602,29.621886,0.923479
40.380373,40.689866,4.985508,39.396312,36.621641,1.908587,36.589020,36.936139,-0.047251,38.327145,34.516085,1.568660,37.791955,29.646550,3.399830
40.135326,38.648432,7.019138,39.595770,36.844140,2.128213,36.570222,36.937650,-0.045801,38.447727,34.649901,1.391381,36.707054,31.327385,4.775253
39.616583,37.062083,7.361016,39.249669,36.794281,2.174851,36.548278,36.933660,-0.034787,38.386560,34.368811,1.621803,37.217755,32.010294,5.703701
39.098965,35.362396,7.301750,39.207062,36.925789,2.316614,36.527520,36.936933,-0.021275,38.559320,34.571811,1.767644,37.323416,32.410563,6.427485
39.519364,35.252538,6.978470,39.225838,36.917164,2.381168,36.463201,36.907247,0.007029,38.469307,34.566870,1.890245,38.307321,32.162135,6.248884
39.435581,36.597834,7.132702,39.460221,36.700536,2.166050,36.442481,36.922042,0.030658,38.513268,34.540370,2.003878,38.520087,31.385252,5.649173
39.390426,38.346897,6.764529,39.274613,36.795324,2.307124,36.421390,36.946224,0.063847,38.429208,34.298427,1.932927,38.348679,31.076459,5.117817
39.053821,39.792082,5.962975,39.408804,36.672246,2.248215,36.400272,36.954014,0.089721,38.296159,34.357181,1.972711,37.582214,30.152920,4.365321
38.650138,41.212333,4.277795,39.254405,36.551669,2.392765,36.377177,36.956488,0.114318,38.164909,34.400124,1.762207,36.837641,29.839755,2.488843
38.482662,41.814226,3.020628,39.122018,36.579388,2.353004,36.311307,36.925042,0.145816,38.200519,34.351481,1.567052,36.590690,29.724600,0.656487
38.767292,42.024114,1.744102,39.237521,36.653459,2.287550,36.287462,36.937719,0.172192,37.949659,34.584859,1.395018,35.860847,30.741500,-1.589569
39.027365,41.263356,0.413081,39.243524,36.470285,2.399310,36.259030,36.975248,0.251959,37.943908,34.608536,1.658709,36.091889,31.784058,-2.839524
38.419906,40.995060,-0.586389,39.329924,36.700015,2.333529,36.230837,36.970555,0.270688,38.031816,34.458397,1.497726,36.617853,32.468593,-3.110268
38.370748,41.001409,-0.389991,39.355597,36.531980,2.301903,36.159150,36.950119,0.297098,37.886732,34.533098,1.501307,36.111133,32.909533,-2.801859
39.167125,41.555852,0.835674,39.092719,36.730846,2.454831,36.129819,36.961131,0.323320,37.824371,34.635103,1.484579,37.066339,31.116261,-1.874412
39.800613,41.801425,2.175972,39.137230,36.715621,2.239641,36.103395,37.011823,0.401934,37.723469,34.756427,1.197944,37.352563,30.552757,-1.486533
40.474912,40.307333,4.959126,39.168631,36.693139,2.198970,36.073286,37.023698,0.418178,37.640021,34.625283,1.362904,37.596817,29.334727,0.043855
40.444798,38.819779,6.872858,39.195485,36.422970,2.309420,36.002781,36.993795,0.447013,37.751004,34.790589,1.462422,37.568418,29.439838,1.927528
39.626751,36.590820,7.840646,39.279668,36.588364,2.626694,35.983647,37.008370,0.460365,37.858855,34.853594,1.500711,38.163905,30.294334,4.184328
39.033870,35.609540,7.639417,39.091652,36.657020,2.389630,35.966147,37.031823,0.501610,37.662193,34.542358,1.557161,38.180452,30.813276,5.008385
38.920757,35.346530,7.558952,39.050994,36.517273,2.509320,35.943201,37.065630,0.554587,37.998617,34.809088,1.532309,38.209054,31.049587,5.356888
39.199113,36.584292,7.376737,38.796029,36.404401,2.434922,35.922505,37.078303,0.571013,37.762922,34.487437,1.668255,38.220870,30.360608,4.398641
39.033092,37.948043,7.252851,38.954720,36.437106,2.500790,35.899063,37.090783,0.589260,37.708175,34.574050,1.625151,37.355293,29.832581,3.278189
39.028248,39.763821,6.594810,38.949842,36.537006,2.600164,35.823939,37.066439,0.644737,37.682079,34.517958,1.643030,36.958765,29.567598,1.940746
38.685795,41.111735,4.743516,38.828499,36.455744,2.459495,35.748110,37.051695,0.717862,37.767854,34.811227,1.592475,36.173562,29.938167,-0.427247
38.302780,41.746489,2.626952,38.929524,36.833743,2.590351,35.717648,37.063329,0.731616,37.994182,34.876646,1.598555,35.617622,32.002966,-2.773312
37.712322,41.545865,1.573707,38.635621,36.835740,2.347132,35.703309,37.088267,0.768199,37.738659,34.652773,1.549153,35.542307,33.294707,-3.401765
37.209867,40.980376,0.677216,38.769313,36.739288,2.768959,35.673312,37.111282,0.810615,37.650740,34.638793,1.497255,35.203101,34.672458,-3.083909
36.884084,41.353802,1.007381,38.755131,36.819625,2.630496,35.650344,37.128449,0.838284,37.784908,34.617592,1.488169,34.883604,34.423286,-2.862894
37.576932,41.457004,2.446728,38.707569,36.617550,2.547871,35.622688,37.150570,0.873019,37.196581,34.864255,1.400828,35.461775,32.943877,-2.953242
38.501330,41.322596,4.707803,38.538605,36.779605,2.957883,35.585198,37.164685,0.883014,37.466236,34.916635,1.510548,36.612140,31.009302,-1.715004
39.234529,39.516013,6.889282,38.473274,36.641338,2.806931,35.512087,37.140665,0.915801,37.329216,34.842464,1.534360,37.457830,29.823088,0.349269
39.540324,37.172948,8.167376,38.551360,36.589901,2.929276,35.482247,37.184546,0.981365,37.764435,34.989656,1.590274,37.845297,29.703388,2.128595
39.059586,35.104765,7.805877,38.377002,36.575850,2.969385,35.458857,37.198423,0.995925,37.570546,34.920993,1.737356,38.406805,30.891333,4.882696
38.946884,34.154424,7.450478,38.599446,36.637310,3.019003,35.431562,37.211130,1.012214,37.363085,34.663074,1.788448,38.464601,31.322682,5.679023
39.158595,34.722155,7.510533,38.457592,36.659922,2.912741,35.406278,37.230382,1.042392,37.347689,34.693887,1.841098,38.445797,30.780671,5.012949
39.141153,36.136950,7.833606,38.469819,36.832413,3.004247,35.326282,37.221223,1.110184,37.323948,34.725948,1.768517,38.536857,29.911465,3.390443
39.097574,38.037231,7.547412,38.596629,36.644371,2.881489,35.258286,37.193165,1.147824,37.386832,34.631017,1.861029,37.111161,30.064930,0.750592
38.631640,40.692033,6.137503,38.544009,36.784274,3.285323,35.232190,37.202479,1.168752,37.363710,34.677221,1.940006,36.604284,30.585175,-1.418614
38.211422,41.672549,4.645503,37.873551,36.814338,3.053875,35.195218,37.225197,1.199599,37.363410,34.670155,1.864226,35.803463,32.483044,-2.893103
36.987284,41.686879,2.270983,38.168723,36.871546,3.190598,35.173557,37.260505,1.254371,37.287025,34.870538,1.886522,35.003331,34.910591,-3.145964
35.976537,41.283721,1.572555,38.003486,36.631209,3.377599,35.149518,37.288129,1.283103,37.421307,34.849298,1.877456,34.552748,35.858723,-2.627618
35.380387,41.273961,2.229926,37.973926,36.765666,3.446882,35.137412,37.290855,1.279555,37.278802,34.714689,1.623882,34.407880,35.564624,-2.516907
36.172257,41.463983,4.097364,38.052081,36.699436,3.398278,35.092643,37.306289,1.331692,37.087291,35.045232,1.694733,34.409439,33.792327,-2.692813
37.188519,41.166454,6.095159,37.903661,36.724746,3.533560,35.005705,37.301157,1.392138,37.195063,35.101285,1.657357,35.531684,31.376926,-1.359758
38.388049,38.648902,8.246577,37.805103,36.687008,3.489496,34.920202,37.272368,1.421760,37.184681,35.021330,1.698393,36.694387,29.864204,0.718996
