pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
41.359835,39.565213,8.665939,40.074424,34.931633,7.803708,38.641096,32.076212,6.761682,41.372555,33.108713,8.208216,45.999737,33.741104,10.099063
41.289784,39.430696,8.463222,40.075444,34.919442,7.796839,38.653919,32.109226,6.696258,41.349583,32.978055,8.339123,46.244087,33.746731,9.816608
41.466023,39.369942,8.625113,39.937046,34.871051,7.703648,38.632528,32.097227,6.730805,41.391702,33.046107,8.315287,46.288160,33.570513,9.467254
41.100528,39.637905,8.117519,39.937046,34.871051,7.703648,38.614375,32.072932,6.793965,41.322900,33.039991,8.316365,46.477082,33.479895,9.249764
40.742643,39.411415,7.880575,39.908238,34.916537,7.967478,38.584291,32.003097,6.900854,41.325084,32.981628,8.394005,46.607846,33.172831,8.783206
40.831895,39.173970,7.902174,39.824170,34.615769,7.925110,38.503177,31.964702,6.977043,41.286352,32.830307,8.518019,46.734267,33.038181,8.109653
40.639721,39.183566,7.512122,39.869464,34.779401,8.128759,38.449403,31.902885,7.097094,41.229133,32.826467,8.601064,46.764868,32.801664,7.485239
41.026783,39.599334,6.692622,39.625578,34.725049,8.284031,38.426326,31.906291,7.175002,41.415043,32.942484,8.481031,46.320150,32.792866,6.710933
40.672532,39.155511,6.694139,39.679983,34.704552,8.251102,38.353181,31.875788,7.245374,41.270372,32.866607,8.669518,44.964161,32.230263,5.852382
40.383897,39.139140,6.912786,39.655227,34.578090,8.513224,38.325082,31.861774,7.298924,41.228553,32.972536,8.678370,45.098393,32.092332,5.553085
38.947378,39.182740,7.492955,39.647089,34.569331,8.717163,38.326669,31.832320,7.358116,41.127207,32.787330,8.575349,45.160891,31.354096,6.410336
38.404886,39.014601,9.447772,39.632785,34.753427,8.677354,38.337823,31.780017,7.467573,41.212307,32.795254,8.749100,45.668190,30.994703,8.496122
37.661476,37.947566,11.506851,39.606131,34.597459,8.593566,38.385744,31.699886,7.571952,41.151267,32.808911,8.720593,45.376070,31.012959,10.976494
37.794042,36.643073,13.023764,39.833057,34.694004,8.753017,38.401571,31.639597,7.659985,41.033742,32.787549,8.743102,43.941919,31.767355,12.762840
37.974578,35.693075,13.176152,39.905602,34.682351,8.821305,38.331977,31.591725,7.754868,40.923016,32.784827,8.597253,42.983016,32.189201,13.472659
38.363674,35.721066,13.855376,39.711939,34.718281,8.989343,38.240385,31.555446,7.848790,40.879866,32.740370,8.640688,43.926613,32.649758,12.600148
38.663294,36.454565,13.104832,39.519257,34.718272,9.040876,38.145705,31.527344,7.949516,40.698556,32.817106,8.692875,44.861369,31.863423,12.183689
38.314226,36.791059,13.076692,39.763479,34.720465,9.250137,38.113360,31.345955,8.203915,40.647669,32.925674,8.780675,45.081492,30.516060,11.082950
37.022916,37.201877,12.506326,39.871662,34.820577,9.581204,38.110168,31.266628,8.349011,40.633043,32.949495,8.584910,45.286842,29.639838,10.144421
36.091029,37.582048,11.557951,39.545435,34.439715,9.610038,38.087296,31.236365,8.440110,40.435096,32.856059,8.873244,43.531030,28.713333,8.137891
35.313394,37.407703,9.725262,39.539277,34.365036,9.622856,38.072288,31.225207,8.506588,40.500509,32.802699,8.816035,42.224631,28.784307,6.348415
35.186337,37.047806,8.460889,39.455895,34.184973,9.688132,38.039884,31.210171,8.552831,40.583986,32.578522,9.269591,40.772471,29.356128,5.496946
35.275797,35.092763,6.970260,39.316241,34.208753,9.827569,37.974085,31.170799,8.598055,40.523845,32.670573,9.181419,39.504132,29.208510,5.399060
35.221592,34.799267,6.973221,39.298421,34.177834,9.656576,37.931974,31.132181,8.638458,40.567363,32.561746,9.321774,39.936078,28.804902,6.021190
34.962559,36.448813,7.693591,39.209241,34.218858,9.837284,37.913238,31.037006,8.735647,40.707427,32.613174,9.274017,41.811865,28.617694,6.465893
35.115936,36.719607,9.275802,39.296225,34.067444,9.824141,37.886188,31.023762,8.792547,40.480098,32.639365,9.238024,44.150582,29.210808,7.766108
35.334685,36.999897,11.889432,39.274599,34.036308,9.890203,37.811082,30.975803,8.828876,40.529101,32.562863,9.291679,45.570657,31.345244,11.082425
37.090525,36.124388,13.815669,39.267643,34.155221,9.935870,37.804852,30.947153,8.869227,40.269829,32.529076,9.333527,44.693135,32.956214,13.303012
38.764050,35.614574,14.687831,39.324171,34.038317,10.145596,37.822935,30.872652,8.956119,40.572425,32.592335,9.581984,43.510875,33.498627,13.937391
39.559475,35.203922,14.705801,39.268878,33.969930,10.173538,37.891927,30.734088,9.207481,40.555243,32.653910,9.773190,42.942505,33.108044,14.122955
39.064464,36.215330,14.533378,39.216765,33.960409,10.397551,37.894222,30.622696,9.376496,40.503752,32.163056,9.697580,44.699030,31.730711,12.912082
37.841503,36.500522,14.238629,39.111573,33.992729,10.481986,37.857608,30.599894,9.515710,40.647707,32.180346,9.973908,45.419001,30.234851,11.468615
35.779973,36.559589,12.942891,39.021066,33.946234,10.639187,37.811280,30.573552,9.625457,40.323801,32.145326,9.986638,44.209688,29.319238,9.868188
34.176199,35.818529,11.165332,38.804272,33.656759,10.485833,37.759420,30.530115,9.749769,40.460853,32.110883,10.145794,42.543100,28.288965,7.874347
33.965524,34.384359,9.055778,38.922374,33.683067,10.654690,37.734015,30.520693,9.834192,40.465668,32.022678,10.210543,41.181393,28.534217,7.025825
34.329099,33.470822,8.318847,38.631659,33.368539,10.588639,37.722089,30.478777,9.915385,40.391062,32.188696,10.385995,40.621862,28.383316,6.807449
34.316127,33.503897,8.577351,38.557545,33.237521,10.855021,37.701203,30.384628,10.034845,40.318979,32.043657,10.509856,41.086673,28.709995,6.799260
33.989686,34.935395,9.219761,38.317213,32.933847,10.951003,37.737555,30.294097,10.135762,40.330696,32.021160,10.472609,42.081738,29.225682,6.851179
