pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
45.518899,37.713454,7.990656,42.079029,36.068302,5.606621,40.570463,34.769143,3.453123,41.877342,34.306643,5.456535,43.167654,31.327898,9.192702
45.277490,37.669100,7.907387,42.325003,36.095527,5.606607,40.573241,34.779196,3.378970,41.980316,34.227172,5.487714,43.167654,31.327898,9.192702
45.320695,37.965291,7.738393,42.234912,36.107351,5.677042,40.548351,34.779634,3.387723,42.042084,34.054561,5.390107,42.944875,31.285515,9.082413
45.130388,37.850455,7.927192,42.086770,36.159382,5.625190,40.507627,34.774455,3.399790,41.919160,33.975338,5.400716,42.750723,31.168823,9.154465
45.049186,37.876728,7.817781,42.048999,36.072254,5.630108,40.444723,34.754203,3.412649,41.861881,34.061998,5.466127,42.710779,31.516911,9.200987
45.157318,38.155744,7.698316,42.097854,36.231430,5.727769,40.415662,34.769304,3.427326,41.832476,34.089412,5.506898,42.582452,31.227281,9.057359
44.749140,38.380812,7.624017,42.069980,36.214579,5.877035,40.308245,34.804970,3.525289,41.627382,34.038291,5.591556,42.485805,31.027441,8.949725
44.841342,38.374119,7.411531,41.936633,36.179152,5.742633,40.274366,34.818159,3.507047,41.549734,34.025858,5.629368,42.403873,30.904414,8.958870
44.915322,38.390459,7.175402,41.882077,36.238971,5.818679,40.220699,34.892062,3.563581,41.400686,33.894084,5.621628,42.421127,30.681688,8.775912
45.068656,38.731052,7.032768,41.860417,36.204190,5.867956,40.169413,34.932030,3.560400,41.358424,33.800210,5.570289,42.383142,30.502728,8.426777
45.005228,38.737989,6.390506,41.730604,36.188384,5.931759,40.116871,34.940749,3.586841,41.654056,33.984991,5.540017,42.381885,30.010096,7.923121
45.117183,38.691578,6.292719,41.725565,36.333658,5.858840,40.048060,34.941663,3.597414,41.309241,33.838933,5.586714,42.378133,29.953736,7.948215
45.472391,38.647776,5.853820,41.699682,36.083802,5.777456,40.009300,34.956955,3.558388,41.193183,33.888600,5.598613,42.852307,29.676433,7.175444
45.703095,38.493299,5.425061,41.755693,36.294110,5.762107,39.884306,35.260044,4.028115,41.193183,33.888600,5.598613,42.871519,29.522491,6.999341
45.651738,38.285414,5.350424,41.589257,36.162979,5.857100,39.802255,35.264459,4.093718,41.168291,33.875446,5.603152,43.069097,29.518994,6.415440
45.467294,38.338141,4.960800,41.603119,36.176184,5.911940,39.762094,35.297280,4.111393,41.123019,33.808554,5.575987,42.861253,29.424726,6.295027
45.490658,38.503706,5.310068,41.417341,36.269705,5.775103,39.722015,35.327341,4.139421,41.070420,33.893370,5.705285,42.521259,29.343633,6.312497
44.924632,39.068788,6.297475,41.494541,36.317550,5.754401,39.665713,35.353540,4.146532,41.166973,33.973049,5.711307,41.416001,29.996320,7.551341
