time(s),trig_fname18,10,11,12,13,14,15,16,17,18,trig_fname29,0.5 5.8_fname20,1.5 5.8_fname21,off off_fname22,0.5 30_fname25,0.5 55_fname27,0.5 15_fname28,0.5 off_fname29,trig_fname34,1_lpm_fname30,1.5_lpm_fname31,0.5_lpm_fname32,2_lpm_fname33,0lpm_fname34
15.44,0.032,0.0062186667,0.01744,0.0007893333,0.0007893333,0.006128,0.0061786667,0.004136,0.0094133333,0.005152,0.0312,-0.0159866667,-0.02346,0.0117333333,-0.0219866667,-0.0110933333,-0.0090666667,-0.00246,0.032,0.02204,0.018984,-0.000124,0.000108,0.0273133333
15.46,0.0312,0.0061066667,0.017448,0.0008293333,0.0008293333,0.006024,0.0060186667,0.00408,0.0093733333,0.005048,0.0312,-0.0161666667,-0.0235,0.0116933333,-0.0221266667,-0.0111333333,-0.0092066667,-0.00266,0.032,0.02208,0.018908,-0.000124,0.000092,0.0274333333
15.48,0.032,0.0060106667,0.017648,0.0007653333,0.0007653333,0.005936,0.0059306667,0.004016,0.0092373333,0.004928,0.032,-0.0163266667,-0.0235,0.0116733333,-0.0222666667,-0.0111933333,-0.0093466667,-0.00278,0.032,0.022024,0.018912,-0.00012,0.0001,0.0275533333
15.5,0.0328,0.0059786667,0.017792,0.0007093333,0.0007093333,0.00584,0.0059146667,0.004064,0.0092133333,0.004864,0.032,-0.0165066667,-0.02356,0.0116133333,-0.0223666667,-0.0112333333,-0.0094666667,-0.003,0.032,0.022104,0.01886,-0.00012,0.000092,0.0276733333
15.52,0.032,0.0058266667,0.017856,0.0004853333,0.0004853333,0.0058,0.0058426667,0.004048,0.0092933333,0.004808,0.032,-0.0166066667,-0.02362,0.0115733333,-0.0224866667,-0.0112533333,-0.0095266667,-0.00318,0.0312,0.02206,0.018832,-0.000128,0.000092,0.0277733333
15.54,0.032,0.0058586667,0.017904,0.0005573333,0.0005573333,0.005832,0.0056586667,0.004008,0.0091653333,0.004744,0.032,-0.0167866667,-0.02366,0.0115133333,-0.0226466667,-0.0112533333,-0.0096266667,-0.00336,0.032,0.022044,0.018804,-0.000132,0.000104,0.0278733333
15.56,0.0312,0.0057946667,0.017888,0.0003573333,0.0003573333,0.005728,0.0055466667,0.004064,0.0092053333,0.004656,0.032,-0.0169066667,-0.02372,0.0114733333,-0.0228066667,-0.0112533333,-0.0097466667,-0.00352,0.032,0.022032,0.018768,-0.00014,0.0001,0.0279533333
15.58,0.0312,0.0056186667,0.01812,0.0003413333,0.0003413333,0.005792,0.0054746667,0.004056,0.0092293333,0.004624,0.0312,-0.0171266667,-0.02372,0.0114333333,-0.0229666667,-0.0112533333,-0.0098666667,-0.00368,0.032,0.021944,0.018768,-0.000136,0.000084,0.0280333333
15.6,0.032,0.0056906667,0.018264,0.0003013333,0.0003013333,0.005768,0.0053866667,0.004016,0.0092133333,0.004576,0.032,-0.0173066667,-0.02368,0.0113733333,-0.0231066667,-0.0112933333,-0.0099466667,-0.00386,0.032,0.021868,0.018732,-0.000124,0.000068,0.0281533333
15.62,0.032,0.0057306667,0.01852,0.0002853333,0.0002853333,0.00568,0.0051706667,0.004048,0.0091333333,0.004448,0.032,-0.0175066667,-0.0237,0.0113133333,-0.0232666667,-0.0113133333,-0.0100666667,-0.00396,0.032,0.021848,0.018652,-0.000128,0.00006,0.0282533333
